TCGA	ICGC	GSE14520	GSE222334
StepCox[backward]	0.711914135036767	0.527414772727273	0.506577045388841	0.591407407407407
CoxBoost+StepCox[both]	0.751281289460002	0.713778409090909	0.647007805724198	0.707851851851852
CoxBoost+StepCox[backward]	0.751281289460002	0.713778409090909	0.647007805724198	0.707851851851852
StepCox[both]+Enet[alpha=0.4]	0.732823293470995	0.738210227272727	0.653873952009251	0.717037037037037
StepCox[backward]+Enet[alpha=0.4]	0.734086013518532	0.737073863636364	0.656186759178953	0.715259259259259
StepCox[both]+Enet[alpha=0.3]	0.740213919631583	0.736931818181818	0.66153512575889	0.718814814814815
StepCox[backward]+Enet[alpha=0.3]	0.737057119512739	0.735653409090909	0.660306446949986	0.716148148148148
StepCox[both]+CoxBoost	0.738356978385204	0.7453125	0.658210465452443	0.711703703703704
StepCox[backward]+CoxBoost	0.740176780806655	0.742613636363636	0.662546978895635	0.708740740740741
StepCox[both]+Enet[alpha=0.5]	0.736165787714477	0.736079545454545	0.655680832610581	0.716148148148148
StepCox[backward]+Enet[alpha=0.5]	0.737874173661145	0.736079545454545	0.656981786643539	0.714962962962963
CoxBoost+RSF	0.607238356978385	0.62734375	0.583188782885227	0.580888888888889
RSF+SuperPC	0.688293842382827	0.704971590909091	0.614773055796473	0.742814814814815
RSF	0.54218970511773	0.617897727272727	0.50520381613183	0.472888888888889
Lasso+GBM	0.657802867117284	0.665625	0.619290257299798	0.593481481481481
RSF+GBM	0.646605511401619	0.662215909090909	0.608629661751951	0.575111111111111
GBM	0.647942509099012	0.672443181818182	0.59207863544377	0.623703703703704
StepCox[both]+survivalSVM	0.654868899948006	0.637926136363636	0.627999421798208	0.752592592592593
StepCox[backward]+survivalSVM	0.654868899948006	0.637926136363636	0.627999421798208	0.752592592592593
Lasso+RSF	0.597619401322142	0.629048295454545	0.595656259034403	0.565333333333333
StepCox[both]+GBM	0.642854490083934	0.641974431818182	0.620338248048569	0.635259259259259
StepCox[backward]+GBM	0.634182574463344	0.640056818181818	0.621856027753686	0.629925925925926
StepCox[both]+RSF	0.530769516452499	0.558522727272727	0.555724197745013	0.551407407407407
StepCox[backward]+RSF	0.523490306766694	0.55625	0.55384504191963	0.560296296296296
StepCox[both]+SuperPC	0.683725766916735	0.710369318181818	0.61788089043076	0.738666666666667
StepCox[backward]+SuperPC	0.677523583153829	0.698721590909091	0.618675917895345	0.742518518518519
